,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdc_ethreshold,usdt,usdt_price,usdt_decimals,usdt_threshold,usdt_ethreshold,dai,dai_price,dai_decimals,dai_threshold,dai_ethreshold,lusd,lusd_price,lusd_decimals,lusd_threshold,lusd_ethreshold,usdc_debt,usdt_debt,dai_debt,lusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,collateral_stable_calc
20,0x2f606b9562e313f93891956b08be8aca3a750d9d,4617427.4950258,3106173.54552325,24792578686349,8074,7264,1.2002262284594314,1527.6132918947849,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2965745.707313967,0.0,0.3577060580791218,1.0,0.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
21,0xcb84be8e49db5e35d1da62a1070847b914f4cd68,2781415.08469176,1518997.14656398,40017926187333,8000,6900,1.4648691558023856,1432.9401911817838,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2781945.0402685637,0.0,0.00019053451594488118,1.0,1518675798714.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,1518997.2568203139,0.0,0.0,0.0,1518997.2568203139,7.258495125209836e-08,0,0,0.0
22,0x109f30842cdd088349f560b8053e124b79685774,2677756.85971798,559741.018753,128791121445241,8000,6900,3.82713686509311,1379.5371455418149,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2678267.064825065,0.0,0.00019053451594506444,1.0,559622597295.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,559741.0526101694,0.0,0.0,0.0,559741.0526101694,6.048720445769779e-08,0,0,0.0
23,0x849d52316331967b6ff1198e5e32a0eb168d039d,2435329.28087173,677502.94551203,100287425828946,8000,6900,2.875653069264458,1254.6423669481433,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2435793.2951574326,0.0,0.00019053451594711225,1.0,0.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
24,0xb8ec7c6483444572a486e22dd8f875bb26e14472,1717943.9632042,909372.00143456,27600933317634,7999,6900,1.5111344686214518,885.0569864479187,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1718271.2223133356,0.0,0.00019049463553242696,1.0,404462035580.0,100021167,6,0.76,0,0.0,99974555,6,0,0,5.048749375572166e+23,99990000,18,0.77,0,0.0,100695210,18,0,0,404547.6480590713,0.0,504824.4500634609,0.0,909372.0981225322,1.0632389390024083e-07,0,0,0.0
25,0xd821f22d7dc1f8fa811400caa3c03f74b144e23c,1670261.13940676,353089.58565705,79939060053361,8000,6900,3.7843339645345626,860.4915999764456,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1670579.3818044632,0.0,0.00019053451594776557,1.0,353014888625.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,353089.61128647526,0.0,0.0,0.0,353089.61128647526,7.25861829060787e-08,0,0,0.0
26,0xd4f24489c090f2d5f31a3e80a65e69e6807e1749,1667669.96764967,819356.99591146,33133528176681,8000,6900,1.6282719019633625,859.1566700792775,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1667987.7163397167,0.0,0.0001905345159476739,1.0,819183658779.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,819357.0553840538,0.0,0.0,0.0,819357.0553840538,7.258447065792926e-08,0,0,0.0
27,0xeda61b1e9f414889dde0dbe83b3bacf814a98e87,2099319.94470411,358367.64819712,110968678913446,7953,6993,4.658872418932256,829.1222318718769,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1609678.1253864325,0.0,0.2332383020286554,1.0,358291834576.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,358367.67420862475,0.0,0.0,0.0,358367.67420862475,7.258329508149347e-08,0,0,0.0
28,0x3cd361345df2a61d2fa0e2d1692da4404f1a4a11,1577684.83091639,679011.75911891,39476053680279,7892,6806,1.8337073722771329,705.4560659686366,0.0,0,0.0,71.91395263022716,1847.86124623,1786.5052977,1719.89763743,1941.42439258,132887.00612861675,0.0,1369589.6143650366,0.0,0.04766998385796256,1.0,678868112391.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,679011.8084043498,0.0,0.0,0.0,679011.8084043498,7.258407417680434e-08,0,0,0.0
29,0xc76f39917e38426515ed15376e0b518574e67f05,3125474.20087341,802936.80643049,149428673121147,8027,7350,3.1245524192547744,668.390297996476,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1297629.2282941735,0.0,0.5848216478857664,1.0,802766943033.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,802936.8647118319,0.0,0.0,0.0,802936.8647118319,7.258521648294485e-08,1056926902,0,1057.1506217173462
