,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
63,0x684566c9ffcac7f6a04c3a9997000d2d58c00824,1297621.88281505,1095627.86367667,7223183085688,9300,9000,1.1014582514981879,668.5138651459973,637.15223205608,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1297869.1245723758,1095836.6185965033,0.0001905345159481003,0.0004187093284980881
67,0x9cbf099ff424979439dfba03f00b5961784c06ce,1196471.31248783,1077981.24622869,0,9300,9000,1.0322241917533514,616.402722734869,626.890005192398,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1196699.2815702013,1078186.6388588857,0.00019053451594866432,0.00041870932849658987
69,0xc2cce95593546a2e8a1ad2c2a0e4f046d5ceb5ab,1242814.53509729,919216.55611577,18949829064452,9215,8921,1.2459018350708557,601.791216709954,534.56187076756,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1168332.1473611016,919391.6985932874,0.05993041248938873,0.0004187093284982393
70,0xf48aeffdb19be3753c3185088c869a95db5a3edc,1161383.61348547,984339.36433049,6090588780643,9300,9000,1.0972707174787464,598.3261061258299,572.4334364582386,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1161604.897150096,984526.9149504605,0.00019053451594858227,0.0004187093284982224
73,0x16a978b8531042fbced83b338a49b5996de654d6,1055496.90903208,885835.36771333,6411185041554,9300,9000,1.1081202683674003,543.7749838003174,515.14934996152,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1055698.0176247305,886004.1499224185,0.00019053451595117373,0.0004187093284959455
77,0x6967c9a1a6e7057cefb79cbb5bc23b234ae6cf3a,971220.3579715,751166.51172638,12293181044797,9300,9000,1.2024430253654765,500.3570639603254,436.8339246011406,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,971405.4089722869,751309.6348707766,0.00019053451594994164,0.00041870932849939063
78,0x6451878ebd7dd53250c800bba2edfe6941e81d29,942562.47056199,768828.87301178,7947735049401,9300,9000,1.1401537174179708,485.59298257978554,447.1053071475935,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,942742.0612460707,768975.3614455606,0.0001905345159494143,0.0004187093285045477
80,0xfb74196eccf35a260dd5cfd300baa37ae058b6c0,875284.52846888,785425.60133387,233047428812,9300,9000,1.036399386642908,450.9324719153347,456.7569807183601,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,875451.3003828266,785575.2520171676,0.00019053451594573187,0.0004187093284956135
82,0xa937f63ba1d69fd7e022fd50628b6d8fcfbde52d,860377.30440634,763883.68221808,1045589174763,9300,9000,1.0474773996670688,443.2525105116149,444.2294772635497,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,860541.2359795719,764029.228422343,0.00019053451595291683,0.000418709328497626
84,0x0d152ff760c1eae784972b31f01bcd92f5818f5c,828713.04985306,651178.76170774,9466298316001,9300,9000,1.1835507877163454,426.93959726722636,378.68697506222185,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,828870.9482928747,651302.8337350287,0.00019053451594937834,0.0004187093285021917
86,0x94da5d8d94d45dcd9a8f5b50eb8c3e7246d9c620,718784.97258293,631197.74842355,1570872690109,9300,9000,1.0590500776843066,370.3064248483894,367.06720193045874,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,718921.9259297558,631318.0133782367,0.0001905345159535675,0.0004187093285089762
